place
Orinoco
York
Bremen
Dunkirk
Humber
Great Yarmouth
Norfolk Coast
Salé
Strait of Gibraltar
Canaries
Cape Verde Islands
Gambia
Senegal
Todos os Santos Bay
Fernando de Noronha
