place
York
Bremen
Hull
York
England
Flanders
Dunkirk
Hull
London
London Yarmouth Roads
Newcastle
Winterton Ness
Winterton
Cromer
Great Yarmouth
London
Hull
Hull
Great Yarmouth
Great Yarmouth
London
coast of Africa
Guinea
London
cost of Guinea
London
Guinea
Canary Islands
Turkish
Sallee
Sallee
Portugal
coast of Spain
Cadiz
sallee
islands of the Canaries
Cape de Verde Islands
Morocco
river Gambia
Senegeal
Cape de Verde
Europe
Coast of Guinea 
Brazil
East Indes
Cape de Verde
Cape de Verde Islands
Sallee
Brazils
Brazil
Brazils
All Saints' Bay
London
England
Lisbon
England
London
London
Lisbon
Lisbon
London
Portugal
London
Lisbon
Brazils
Lisbon
Lisbon 
St. Salvador
coast of Guinea
Guinea
Spain and Portugal
Guinea
coast of Guinea
England
Hull
African coast
Cape St Augustino
Cape St Augustino
coast of Guiana 
coast of Brazil
River Orinoco
coast of Brazil
sea coast of America
Carribbbee Islands
Barbadoes
Bay or Gulf of Mexico
coast of Africa
